Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,18.9,0,0,0,0,18.2,0,0,0,0,0.242,95.59,163.84,0.16,1001,2.5,34,1.1
2018,1,1,1,30,18.4,0,0,0,0,18.1,0,0,0,0,0.242,98.29,152.86,0.16,1000,2.4,20,1
2018,1,1,2,30,18,0,0,0,0,18,0,0,0,0,0.241,100,139.76,0.16,1000,2.4,8,1.1
2018,1,1,3,30,17.7,0,0,0,0,17.7,0,0,0,0,0.241,100,126.11,0.16,1001,2.3,180,1.2
2018,1,1,4,30,17.5,0,0,0,0,17.5,0,0,0,0,0.241,100,112.33,0.16,1001,2.3,357,1.2
2018,1,1,5,30,20.5,0,0,0,0,20.3,0,0,0,0,0.239,98.91,98.6,0.17,995,3.1,332,0.8
2018,1,1,6,30,22.1,36,123,47,0,20.3,36,123,0,47,0.239,89.65,84.86,0.17,996,3.2,337,1.2
2018,1,1,7,30,24.5,111,452,253,0,20.4,111,452,0,253,0.24,77.71,71.73,0.17,996,3.2,179,1.5
2018,1,1,8,30,26.8,155,617,472,0,20.3,155,617,0,472,0.241,67.6,59.12,0.17,997,3.3,14,1.5
2018,1,1,9,30,28.7,180,711,659,1,20,180,711,0,659,0.242,59.37,47.66,0.17,996,3.4,14,1.5
2018,1,1,10,30,30.1,195,762,792,1,19.6,195,762,0,792,0.243,53.37,38.41,0.17,995,3.4,16,1.4
2018,1,1,11,30,31.1,213,764,851,0,19.3,213,764,0,851,0.243,49.39,33.31,0.17,994,3.4,22,1.1
2018,1,1,12,30,31.8,216,754,839,7,19,334,496,0,744,0.242,46.83,34.28,0.17,993,3.4,33,0.8
2018,1,1,13,30,32,210,718,752,0,18.8,210,718,0,752,0.242,45.72,40.87,0.17,992,3.4,61,0.5
2018,1,1,14,30,31.9,171,696,609,0,18.6,171,696,0,609,0.242,45.4,50.95,0.17,991,3.4,105,0.4
2018,1,1,15,30,31.2,142,582,407,0,18.5,142,582,0,407,0.242,46.98,62.85,0.17,991,3.5,133,0.7
2018,1,1,16,30,29.3,94,359,183,0,19.1,94,359,0,183,0.242,54.14,75.67,0.17,992,3.5,137,0.8
2018,1,1,17,30,27,8,17,8,1,21.6,8,17,0,8,0.242,72.5,88.76,0.17,992,3.5,138,0.9
2018,1,1,18,30,25.8,0,0,0,3,21.2,0,0,0,0,0.243,75.78,102.76,0.17,993,3.5,141,1.1
2018,1,1,19,30,25,0,0,0,0,20.8,0,0,0,0,0.244,77.74,116.54,0.17,994,3.5,144,1.2
2018,1,1,20,30,24.3,0,0,0,0,20.9,0,0,0,0,0.244,81.38,130.32,0.17,994,3.5,148,1.2
2018,1,1,21,30,23.7,0,0,0,0,21.2,0,0,0,0,0.245,85.94,143.88,0.17,995,3.6,154,1.2
2018,1,1,22,30,23.2,0,0,0,0,21.5,0,0,0,0,0.245,90.31,156.64,0.17,995,3.6,159,1
2018,1,1,23,30,22.8,0,0,0,0,21.8,0,0,0,0,0.246,93.87,166.03,0.17,994,3.6,161,0.9
2018,1,2,0,30,22.4,0,0,0,0,21.9,0,0,0,0,0.246,97.12,164.01,0.17,994,3.6,162,0.7
2018,1,2,1,30,22.2,0,0,0,0,21.9,0,0,0,0,0.246,98.33,153.03,0.17,993,3.5,160,0.6
2018,1,2,2,30,22.2,0,0,0,0,21.9,0,0,0,0,0.247,98,139.92,0.17,993,3.5,149,0.4
2018,1,2,3,30,22.2,0,0,0,0,21.8,0,0,0,0,0.248,97.57,126.26,0.17,993,3.5,115,0.4
2018,1,2,4,30,22.1,0,0,0,0,21.7,0,0,0,0,0.248,97.69,112.46,0.17,994,3.5,91,0.3
2018,1,2,5,30,22.1,0,0,0,0,21.7,0,0,0,0,0.249,97.43,98.7,0.18,995,3.4,57,0.5
2018,1,2,6,30,23.4,31,45,35,0,21.8,31,45,0,35,0.25,90.71,84.95,0.18,996,3.4,56,0.9
2018,1,2,7,30,25.6,143,299,237,0,21.6,143,299,0,237,0.251,78.77,71.8,0.18,996,3.3,76,1
2018,1,2,8,30,27.7,205,488,455,0,21,205,488,0,455,0.251,67.06,59.18,0.18,996,3.3,107,0.8
2018,1,2,9,30,29.5,232,608,642,1,20.6,232,608,0,642,0.251,58.86,47.68,0.18,996,3.3,139,0.4
2018,1,2,10,30,31,250,667,773,1,20.2,250,667,0,773,0.251,52.58,38.4,0.18,995,3.4,85,0.2
2018,1,2,11,30,31.9,249,710,842,7,19.8,354,458,0,737,0.249,48.88,33.25,0.18,994,3.5,171,0.1
2018,1,2,12,30,32.4,267,674,824,3,19.5,395,66,0,449,0.248,46.63,34.16,0.18,992,3.6,304,0.2
2018,1,2,13,30,32.6,263,626,737,1,19.3,263,626,0,737,0.248,45.35,40.74,0.18,991,3.6,185,0.2
2018,1,2,14,30,32.1,223,584,592,2,19.1,292,81,0,342,0.248,46.1,50.81,0.18,991,3.7,94,0.5
2018,1,2,15,30,31,187,450,393,3,19.1,180,30,0,194,0.248,49.24,62.71,0.18,991,3.7,105,1.1
