Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2017,1,1,0,30,20.5,0,0,0,0,20.5,0,0,0,0,0.239,100,163.87,0.16,995,3.2,55,0.8
2017,1,1,1,30,20.5,0,0,0,0,20.5,0,0,0,0,0.239,100,152.9,0.16,994,3.2,42,0.7
2017,1,1,2,30,20.4,0,0,0,0,20.4,0,0,0,0,0.239,100,139.8,0.16,993,3.2,24,0.6
2017,1,1,3,30,20.3,0,0,0,0,20.3,0,0,0,0,0.239,100,126.15,0.16,994,3.2,183,0.6
2017,1,1,4,30,20.3,0,0,0,1,20.3,0,0,0,0,0.239,100,112.36,0.16,994,3.1,354,0.6
2017,1,1,5,30,18.2,0,0,0,0,17.2,0,0,0,0,0.253,94.05,98.62,0.17,998,2,344,1.4
2017,1,1,6,30,20.5,34,194,51,7,17.3,31,52,3,36,0.253,81.7,84.88,0.17,999,2,344,2.1
2017,1,1,7,30,24.1,89,575,269,7,17.3,114,318,0,214,0.253,65.95,71.74,0.17,1000,2.1,186,3
2017,1,1,8,30,27.3,114,751,499,0,16.6,114,751,0,499,0.253,52.21,59.14,0.17,1000,2.2,29,3.4
2017,1,1,9,30,29.5,127,844,695,2,16.1,321,255,0,492,0.253,44.37,47.66,0.17,999,2.2,37,3.4
2017,1,1,10,30,31.2,132,894,832,7,15.8,287,564,0,729,0.252,39.45,38.41,0.17,998,2.3,42,3.2
2017,1,1,11,30,32.4,163,864,885,7,15.6,419,284,0,656,0.25,36.43,33.3,0.17,997,2.3,47,3
2017,1,1,12,30,33.2,157,867,874,7,15.4,396,346,0,683,0.249,34.34,34.25,0.17,995,2.4,52,2.8
2017,1,1,13,30,33.4,147,845,786,2,15.1,377,233,0,553,0.249,33.39,40.84,0.17,994,2.4,57,2.7
2017,1,1,14,30,33.1,118,827,639,7,14.9,273,362,0,501,0.248,33.39,50.92,0.17,994,2.5,61,2.7
2017,1,1,15,30,32,102,722,432,7,14.6,184,324,0,333,0.248,35,62.81,0.17,994,2.5,65,2.6
2017,1,1,16,30,29.4,73,504,198,0,14.8,73,504,0,198,0.248,41.04,75.64,0.17,994,2.6,71,1.9
2017,1,1,17,30,26.6,10,49,11,1,17.3,10,49,0,11,0.248,56.76,88.73,0.17,995,2.6,77,1.6
2017,1,1,18,30,25.4,0,0,0,0,17.4,0,0,0,0,0.248,61.4,102.73,0.17,996,2.7,79,2.1
2017,1,1,19,30,24.6,0,0,0,7,17.9,0,0,0,0,0.248,66.28,116.51,0.17,997,2.7,77,2.5
2017,1,1,20,30,23.9,0,0,0,7,18.6,0,0,0,0,0.249,72.02,130.29,0.17,998,2.8,72,2.7
2017,1,1,21,30,23.2,0,0,0,7,19.1,0,0,0,0,0.249,77.75,143.86,0.17,998,2.9,65,2.4
2017,1,1,22,30,22.4,0,0,0,0,19.5,0,0,0,0,0.25,83.81,156.63,0.17,998,2.9,57,1.9
2017,1,1,23,30,21.8,0,0,0,0,19.9,0,0,0,0,0.251,88.81,166.04,0.17,998,2.9,47,1.4
2017,1,2,0,30,21.3,0,0,0,7,20.1,0,0,0,0,0.253,92.83,164.04,0.17,997,2.9,35,1.1
2017,1,2,1,30,21,0,0,0,7,20.2,0,0,0,0,0.253,95.43,153.07,0.17,997,2.9,26,1.1
2017,1,2,2,30,20.9,0,0,0,7,20.3,0,0,0,0,0.253,96.32,139.95,0.17,997,2.8,20,1.1
2017,1,2,3,30,20.8,0,0,0,7,20.3,0,0,0,0,0.254,96.78,126.29,0.17,997,2.8,15,1.2
2017,1,2,4,30,20.8,0,0,0,7,20.2,0,0,0,0,0.254,96.26,112.49,0.17,997,2.8,12,1.3
2017,1,2,5,30,20.9,0,0,0,7,20.1,0,0,0,0,0.254,95.05,98.72,0.18,998,2.7,5,1.7
2017,1,2,6,30,22.4,35,156,49,7,20,31,81,3,38,0.253,86.12,84.97,0.18,999,2.6,9,2.7
2017,1,2,7,30,25,92,549,264,7,19.6,122,236,0,196,0.253,71.87,71.82,0.18,1000,2.6,19,3.4
2017,1,2,8,30,27.6,114,746,496,7,18.6,205,371,0,395,0.253,57.99,59.19,0.18,1000,2.5,24,3.6
2017,1,2,9,30,29.8,127,838,691,2,17.4,313,293,0,510,0.252,47.39,47.69,0.18,1000,2.5,24,3.6
2017,1,2,10,30,31.5,132,891,831,1,16.5,132,891,0,831,0.252,40.62,38.39,0.18,998,2.4,23,3.5
2017,1,2,11,30,32.8,136,907,895,2,15.7,423,265,0,645,0.251,35.72,33.23,0.18,997,2.4,24,3.4
2017,1,2,12,30,33.6,132,913,888,1,14.7,132,913,0,888,0.25,32.12,34.13,0.18,996,2.3,25,3.4
2017,1,2,13,30,33.9,124,893,801,2,13.8,375,250,0,565,0.249,29.8,40.7,0.18,995,2.3,26,3.3
2017,1,2,14,30,33.6,128,808,639,2,13,303,188,0,422,0.249,28.71,50.78,0.18,994,2.3,29,3.2
2017,1,2,15,30,32.5,106,713,433,2,12.3,204,159,3,276,0.249,29.22,62.68,0.18,995,2.3,35,2.8
2017,1,2,16,30,29.6,73,512,201,0,12.3,73,512,0,201,0.249,34.48,75.51,0.18,995,2.3,48,1.9
2017,1,2,17,30,26.5,10,60,11,0,15.2,10,60,0,11,0.249,49.96,88.62,0.18,996,2.3,62,1.5
2017,1,2,18,30,25.1,0,0,0,0,15,0,0,0,0,0.249,53.54,102.61,0.18,997,2.3,68,1.8
2017,1,2,19,30,24.3,0,0,0,7,15.5,0,0,0,0,0.249,57.97,116.41,0.18,998,2.4,69,2.1
2017,1,2,20,30,23.6,0,0,0,7,16.7,0,0,0,0,0.25,65.1,130.2,0.18,999,2.5,67,2.3
2017,1,2,21,30,23,0,0,0,7,18,0,0,0,0,0.25,73.51,143.78,0.18,999,2.6,65,2.2
2017,1,2,22,30,22.1,0,0,0,1,19.2,0,0,0,0,0.251,83.65,156.58,0.18,999,2.6,62,1.6
2017,1,2,23,30,21.4,0,0,0,7,20,0,0,0,0,0.252,91.6,166.08,0.18,998,2.6,55,1.2
